dt,event_time,type,context,id,update_compartments,update_sums,print,total
0.0180367, 10, 10, 11, 12, 112, 1029, 1032, 1033
0.0196894, 1, 2, 3, 4, 160, 965, 967, 968
0.00571125, 2, 2, 3, 4, 108, 941, 943, 944
0.00240561, 1, 2, 3, 3, 107, 884, 885, 886
0.00308167, 1, 2, 2, 3, 790, 2685, 2700, 2701
0.00481581, 10, 12, 14, 18, 922, 2423, 2438, 2439
0.00263595, 9, 10, 12, 16, 970, 3124, 3135, 3136
0.00651161, 8, 8, 9, 11, 778, 3028, 3044, 3045
0.00975995, 8, 12, 13, 16, 401, 1345, 1348, 1349
0.00708673, 2, 3, 3, 5, 131, 1098, 1100, 1101
0.00897133, 2, 3, 4, 4, 140, 1092, 1094, 1094
0.00629269, 2, 2, 3, 4, 133, 1054, 1056, 1057
0.000962268, 2, 2, 3, 4, 118, 1090, 1092, 1093
0.00484735, 2, 2, 3, 4, 123, 1109, 1111, 1112
0.00110026, 2, 3, 3, 4, 485, 1512, 1514, 1514
0.00489019, 1, 2, 2, 3, 119, 1114, 1119, 1120
0.00244531, 3, 4, 6, 7, 327, 1751, 1773, 1774
0.00774761, 4, 5, 6, 8, 345, 1573, 1575, 1575
0.000787279, 1, 20, 21, 22, 409, 1285, 1287, 1287
0.00282791, 1, 1, 2, 3, 126, 1004, 1006, 1006
0.0107652, 1, 1, 2, 3, 108, 982, 984, 985
0.000735148, 2, 3, 4, 5, 150, 979, 981, 981
0.00254792, 1, 2, 2, 18, 120, 912, 913, 914
0.0162162, 1, 2, 2, 3, 95, 946, 947, 948
0.00015468, 1, 1, 2, 3, 332, 1184, 1185, 1185
9.31515e-05, 0, 1, 2, 2, 125, 949, 951, 951
7.11965e-05, 0, 1, 2, 3, 133, 1208, 1215, 1216
0.000115718, 11, 12, 13, 16, 1977, 3285, 3290, 3290
0.000916774, 6, 6, 7, 9, 818, 2955, 2962, 2964
0.00119702, 8, 10, 11, 14, 1207, 3557, 3569, 3570
0.00244184, 10, 12, 12, 16, 900, 1844, 1846, 1847
0.000455337, 3, 3, 4, 5, 146, 1204, 1207, 1208
0.00136285, 4, 4, 5, 7, 175, 1116, 1119, 1120
0.000257318, 2, 3, 4, 5, 128, 1070, 1072, 1073
0.00114826, 2, 3, 3, 4, 120, 1042, 1044, 1044
0.000624251, 2, 3, 4, 5, 158, 1166, 1168, 1169
0.0004452, 2, 3, 4, 5, 164, 1138, 1139, 1140
0.00188254, 1, 2, 3, 4, 111, 1001, 1004, 1004
0.00271146, 3, 4, 5, 6, 276, 1590, 1595, 1596
0.00129454, 3, 4, 5, 7, 327, 1590, 1592, 1593
0.000507404, 2, 2, 3, 4, 156, 990, 991, 992
0.000998692, 2, 18, 18, 19, 638, 1476, 1477, 1478
0.00102728, 1, 2, 2, 3, 122, 922, 923, 924
0.00148625, 1, 2, 2, 3, 123, 900, 901, 901
0.000530458, 1, 2, 2, 3, 129, 945, 946, 947
9.76309e-05, 1, 1, 17, 18, 1252, 2126, 2127, 2128
0.00094977, 0, 1, 2, 2, 126, 976, 977, 978
0.00217099, 1, 2, 2, 3, 125, 921, 922, 923
0.0019232, 1, 2, 3, 4, 97, 1125, 1131, 1132
0.000385839, 7, 8, 9, 12, 1988, 3426, 3432, 3434
0.000813496, 6, 7, 8, 9, 510, 2589, 2599, 2600
0.00186955, 6, 7, 8, 13, 1156, 3195, 3203, 3204
0.00207963, 7, 8, 9, 12, 1530, 2532, 2535, 2536
0.00271598, 3, 4, 5, 6, 155, 1234, 1237, 1237
0.00467691, 2, 3, 4, 5, 152, 1120, 1122, 1124
0.00301502, 1, 2, 2, 3, 122, 1076, 1078, 1079
0.000649193, 2, 2, 3, 4, 131, 1052, 1054, 1054
0.000739024, 1, 2, 3, 4, 541, 1501, 1503, 1503
0.00273126, 2, 3, 4, 5, 127, 989, 991, 991
0.00011917, 2, 2, 3, 4, 683, 2050, 2070, 2071
0.00112887, 5, 6, 7, 8, 315, 1589, 1592, 1593
0.000460367, 4, 4, 5, 6, 276, 1164, 1166, 1167
0.000283619, 2, 3, 3, 4, 133, 996, 997, 998
0.00379616, 1, 1, 2, 3, 113, 970, 971, 972
0.000462143, 1, 2, 3, 3, 100, 954, 956, 957
0.00326376, 1, 2, 2, 20, 125, 959, 960, 961
0.000816042, 1, 1, 2, 3, 125, 911, 912, 913
