t,S,I,R
0,3995,5,0
0.115409,3994,6,0
0.137112,3993,7,0
0.144294,3992,8,0
0.158463,3991,9,0
0.192897,3990,10,0
0.205496,3989,11,0
0.217708,3988,12,0
0.224387,3987,13,0
0.235913,3986,14,0
0.249727,3985,15,0
0.251478,3984,16,0
0.255724,3984,15,1
0.26221,3983,16,1
0.263591,3982,17,1
0.270606,3981,18,1
0.296849,3981,17,2
0.302569,3980,18,2
0.302775,3979,19,2
0.312032,3978,20,2
0.327984,3978,19,3
0.344966,3977,20,3
0.351516,3976,21,3
0.396614,3975,22,3
0.396943,3975,21,4
0.403749,3975,20,5
0.443114,3974,21,5
0.446908,3973,22,5
0.45428,3972,23,5
0.458627,3971,24,5
0.458822,3970,25,5
0.475235,3969,26,5
0.496923,3968,27,5
0.502806,3967,28,5
0.508641,3966,29,5
0.511032,3965,30,5
0.514124,3964,31,5
0.51529,3963,32,5
0.521088,3962,33,5
0.524521,3962,32,6
0.529322,3961,33,6
0.537403,3960,34,6
0.544039,3959,35,6
0.548447,3958,36,6
0.560118,3958,35,7
0.569937,3957,36,7
0.570764,3956,37,7
0.576044,3955,38,7
0.57742,3954,39,7
0.58628,3954,38,8
0.597496,3953,39,8
0.597573,3952,40,8
0.602721,3952,39,9
0.608102,3951,40,9
0.614465,3951,39,10
0.617055,3950,40,10
0.619191,3950,39,11
0.619488,3950,38,12
0.625375,3949,39,12
0.634464,3948,40,12
0.634833,3947,41,12
0.645416,3947,40,13
0.64589,3947,39,14
0.649544,3946,40,14
0.656006,3945,41,14
0.656059,3944,42,14
0.657865,3943,43,14
0.658439,3943,42,15
0.664471,3942,43,15
0.676252,3941,44,15
0.681036,3940,45,15
0.681998,3939,46,15
0.68729,3938,47,15
0.688748,3937,48,15
0.696091,3936,49,15
0.696371,3935,50,15
0.698782,3935,49,16
0.704705,3934,50,16
0.706114,3934,49,17
0.713579,3933,50,17
0.714727,3932,51,17
0.725355,3931,52,17
0.731239,3931,51,18
0.736707,3931,50,19
0.73751,3930,51,19
0.737929,3930,50,20
0.739012,3929,51,20
0.739699,3928,52,20
0.746309,3928,51,21
0.746318,3927,52,21
0.748497,3926,53,21
0.75049,3925,54,21
0.75452,3924,55,21
0.756639,3924,54,22
0.758454,3923,55,22
